Metadata_data_name	Metadata_Predicted_Class	Metadata_Phenotypic_Value	UMAP0	UMAP1
mitocheck	Prometaphase	1.0	-1.3340255	-0.31335264
mitocheck	Prometaphase	1.0	0.8375141	1.5926775
mitocheck	Prometaphase	1.0	-0.62072474	-1.3441722
mitocheck	Prometaphase	1.0	-0.40905973	-0.78084695
mitocheck	Prometaphase	1.0	-0.51772577	-1.1262441
mitocheck	Prometaphase	1.0	-0.5177073	-0.8460256
mitocheck	Prometaphase	1.0	-0.43481427	-0.30370533
mitocheck	Prometaphase	1.0	-0.9788603	2.5220206
mitocheck	Prometaphase	1.0	-1.1214112	-0.21737047
mitocheck	Prometaphase	1.0	-0.16639732	-1.7833502
mitocheck	Prometaphase	1.0	-0.74170303	1.8907808
mitocheck	Prometaphase	1.0	-0.5307825	-1.1433356
mitocheck	Prometaphase	1.0	-0.018763574	-1.2147844
mitocheck	Prometaphase	1.0	-1.2885499	2.675962
mitocheck	Prometaphase	1.0	-0.80023456	-1.4357092
mitocheck	Prometaphase	1.0	0.1759953	1.4182594
mitocheck	Prometaphase	1.0	-0.18609689	-2.234009
mitocheck	Prometaphase	1.0	-0.5775386	1.4198829
mitocheck	Prometaphase	1.0	1.3499756	3.3467393
mitocheck	Prometaphase	1.0	-0.58850485	-1.9331301
mitocheck	Prometaphase	1.0	-0.097994715	-0.87350625
mitocheck	Prometaphase	1.0	-0.15317583	-1.1051567
mitocheck	Prometaphase	1.0	-0.50338846	6.3638825
mitocheck	Prometaphase	1.0	-0.36494377	-0.22681755
mitocheck	Prometaphase	1.0	-1.9650203	2.2331915
mitocheck	Prometaphase	1.0	-1.062491	2.1814275
mitocheck	Prometaphase	1.0	0.04852252	0.07400985
mitocheck	Grape	1.0	-2.233007	3.1725445
mitocheck	Grape	1.0	1.082861	8.037612
mitocheck	Grape	1.0	0.94817007	6.9249096
mitocheck	Grape	1.0	-2.0755358	0.87008893
mitocheck	Grape	1.0	-3.6460266	3.4972663
mitocheck	Grape	1.0	-2.8021433	3.3785117
mitocheck	Grape	1.0	-3.282127	2.438133
mitocheck	Grape	1.0	2.0092828	9.529377
mitocheck	Grape	1.0	-2.893685	2.0871823
mitocheck	Grape	1.0	-3.230563	3.1180563
mitocheck	Grape	1.0	2.5119028	7.286118
mitocheck	Grape	1.0	1.152759	10.366738
mitocheck	Grape	1.0	-3.236929	3.8469448
mitocheck	Grape	1.0	1.3048542	9.481452
mitocheck	Grape	1.0	-1.3820307	3.1377664
mitocheck	Grape	1.0	1.2249484	10.239546
mitocheck	Grape	1.0	-1.9778721	3.5203602
mitocheck	Grape	1.0	-1.0276124	3.756663
mitocheck	Grape	1.0	1.7783334	9.590425
mitocheck	Grape	1.0	2.0431871	9.706094
mitocheck	Grape	1.0	0.6137605	9.987605
mitocheck	Grape	1.0	-2.4032485	4.431863
mitocheck	Grape	1.0	-3.0766373	3.0012238
mitocheck	Grape	1.0	1.2370226	9.922426
mitocheck	Grape	1.0	0.9417363	10.553856
mitocheck	Grape	1.0	-3.0600345	3.5870106
mitocheck	Grape	1.0	0.74062043	9.585424
mitocheck	Grape	1.0	-3.0724556	2.5397441
mitocheck	Grape	1.0	0.65544236	9.865826
mitocheck	Grape	1.0	-3.3668437	3.5757077
mitocheck	Grape	1.0	1.5562862	9.190594
mitocheck	Grape	1.0	0.9773785	9.944857
mitocheck	Grape	1.0	-3.3087502	3.7492633
mitocheck	Grape	1.0	-2.4011567	3.1298208
mitocheck	Grape	1.0	1.0986277	10.265946
mitocheck	Grape	1.0	-1.0417218	8.785549
mitocheck	Grape	1.0	-2.6747186	3.3148324
mitocheck	Grape	1.0	-2.3175573	1.2162622
mitocheck	Grape	1.0	0.45878878	9.533198
mitocheck	Grape	1.0	-2.7407482	2.4557076
mitocheck	Grape	1.0	1.9091984	9.36693
mitocheck	Grape	1.0	-2.7842493	1.9988077
mitocheck	Grape	1.0	-1.5299257	3.3325055
mitocheck	Grape	1.0	0.42706233	10.041563
mitocheck	Grape	1.0	-3.390309	2.653781
mitocheck	Grape	1.0	-2.229529	2.8312778
mitocheck	Grape	1.0	1.4229417	9.820288
mitocheck	Grape	1.0	-2.3997607	2.4570746
mitocheck	Grape	1.0	2.498597	7.2681785
mitocheck	Grape	1.0	-3.364007	3.7320037
mitocheck	Grape	1.0	-3.180768	3.390288
mitocheck	Grape	1.0	1.0484732	9.990191
mitocheck	Grape	1.0	-2.1388016	3.4722645
mitocheck	Grape	1.0	-2.9039452	2.4833047
mitocheck	Grape	1.0	2.1581361	8.142631
mitocheck	Grape	1.0	-1.7582211	5.1219473
mitocheck	Grape	1.0	1.4254051	6.6543145
